Name                                                      Stmts   Miss  Cover
-----------------------------------------------------------------------------
BearClubs/__init__                                            0      0   100%
BearClubs/bc/__init__                                         0      0   100%
BearClubs/bc/admin                                            5      0   100%
BearClubs/bc/forms/__init__                                   4      0   100%
BearClubs/bc/forms/event                                     35      6    83%
BearClubs/bc/forms/organization                              10      0   100%
BearClubs/bc/forms/user                                      28      2    93%
BearClubs/bc/models/__init__                                  6      0   100%
BearClubs/bc/models/event                                    46      2    96%
BearClubs/bc/models/mappings/__init__                         2      0   100%
BearClubs/bc/models/mappings/user                            50      1    98%
BearClubs/bc/models/organization                             54      3    94%
BearClubs/bc/models/user                                      9      0   100%
BearClubs/bc/models/views/__init__                            2      0   100%
BearClubs/bc/models/views/user                               12      1    92%
BearClubs/bc/search_indexes                                  27      0   100%
BearClubs/bc/templatetags/__init__                            0      0   100%
BearClubs/bc/templatetags/footer                              5      0   100%
BearClubs/bc/templatetags/header                              6      0   100%
BearClubs/bc/templatetags/header_tag                          8      8     0%
BearClubs/bc/tests/__init__                                   0      0   100%
BearClubs/bc/tests/e2e/__init__                               0      0   100%
BearClubs/bc/tests/e2e/event/__init__                         0      0   100%
BearClubs/bc/tests/e2e/event/testAddEventFunctional          87      0   100%
BearClubs/bc/tests/e2e/event/testEventProfile                38      2    95%
BearClubs/bc/tests/e2e/event/testEventSubscribe              43      0   100%
BearClubs/bc/tests/e2e/organization/__init__                  0      0   100%
BearClubs/bc/tests/e2e/organization/testClubProfile          63      2    97%
BearClubs/bc/tests/e2e/organization/testManagePage           67      2    97%
BearClubs/bc/tests/e2e/search/__init__                        0      0   100%
BearClubs/bc/tests/e2e/search/testSearch                     38      2    95%
BearClubs/bc/tests/e2e/search/testSearchAutocomplete         38      2    95%
BearClubs/bc/tests/e2e/user/__init__                          0      0   100%
BearClubs/bc/tests/e2e/user/testAdminPrivileges              84      2    98%
BearClubs/bc/tests/e2e/user/testUserDashboard                64      2    97%
BearClubs/bc/tests/e2e/user/testUserProfile                 141      2    99%
BearClubs/bc/tests/ui/__init__                                0      0   100%
BearClubs/bc/tests/ui/event/__init__                          0      0   100%
BearClubs/bc/tests/ui/event/testCreateEvent                 171      0   100%
BearClubs/bc/tests/ui/organization/__init__                   0      0   100%
BearClubs/bc/tests/ui/organization/testCreateOrganization   105      0   100%
BearClubs/bc/tests/ui/search/__init__                         0      0   100%
BearClubs/bc/tests/ui/search/testSearchResults               52      0   100%
BearClubs/bc/tests/ui/user/__init__                           0      0   100%
BearClubs/bc/tests/ui/user/testUserDashboard                 43      0   100%
BearClubs/bc/tests/ui/user/testUserLogin                     63      0   100%
BearClubs/bc/tests/ui/user/testUserProfile                   48      0   100%
BearClubs/bc/tests/ui/user/testUserSignUp                   105      0   100%
BearClubs/bc/tests/unit/__init__                              0      0   100%
BearClubs/bc/tests/unit/event/__init__                        0      0   100%
BearClubs/bc/tests/unit/event/testAddEvent                  134      2    99%
BearClubs/bc/tests/unit/event/testEventProfile               40      2    95%
BearClubs/bc/tests/unit/organization/__init__                 0      0   100%
BearClubs/bc/tests/unit/organization/testAddClub             94      2    98%
BearClubs/bc/tests/unit/organization/testClubDirectory       62      2    97%
BearClubs/bc/tests/unit/search/__init__                       0      0   100%
BearClubs/bc/tests/unit/search/testSearch                    35      2    94%
BearClubs/bc/tests/unit/search/testSearchAutocomplete        29      2    93%
BearClubs/bc/tests/unit/user/__init__                         0      0   100%
BearClubs/bc/tests/unit/user/testUserMappings               148      2    99%
BearClubs/bc/tests/unit/user/testUserSignUpForm             111     10    91%
BearClubs/bc/views/__init__                                   6      0   100%
BearClubs/bc/views/event                                     68      5    93%
BearClubs/bc/views/index                                      5      3    40%
BearClubs/bc/views/organization                              89     12    87%
BearClubs/bc/views/search                                     8      0   100%
BearClubs/bc/views/user                                      93     11    88%
BearClubs/settings-dev                                       23      0   100%
BearClubs/settings-prod                                      24     24     0%
BearClubs/urls                                                5      0   100%
BearClubs/wsgi                                                5      5     0%
